Day,Meal Type,Food,Regional Type,Food Type,Trimester
Friday,Breakfast,Pineapple,North Indian,Veg,Trimester 1
Friday,Breakfast,Muskmelon,North Indian,Veg,Trimester 1
Friday,Breakfast,Pear,North Indian,Veg,Trimester 1
Friday,Breakfast,Boiled Egg,North Indian,Non-Veg,Trimester 1
Friday,Breakfast,Amla Juice,North Indian,Veg,Trimester 1
Friday,Lunch,Steamed Moong Dal Khichdi,North Indian,Veg,Trimester 1
Friday,Lunch,Carrot and Peas Sabzi,North Indian,Veg,Trimester 1
Friday,Lunch,Chicken Curry with Chapati,North Indian,Non-Veg,Trimester 1
Friday,Snack,Roasted Chickpeas,North Indian,Veg,Trimester 1
Friday,Snack,Lotus Stem Sabzi,North Indian,Veg,Trimester 1
Friday,Snack,Pearl Millet Bajra Roti,North Indian,Veg,Trimester 1
Friday,Snack,Boiled Egg,North Indian,Non-Veg,Trimester 1
Friday,Dinner,Vegetable Pulao with Cucumber Raita,North Indian,Veg,Trimester 1
Friday,Dinner,Chapati with Paneer Masala,North Indian,Veg,Trimester 1
Friday,Dinner,Grilled Fish with Spinach,North Indian,Non-Veg,Trimester 1
Saturday,Breakfast,Mixed Fruit Salad,North Indian,Veg,Trimester 1
Saturday,Breakfast,Banana,North Indian,Veg,Trimester 1
Saturday,Breakfast,Pomegranate,North Indian,Veg,Trimester 1
Saturday,Breakfast,Scrambled Egg,North Indian,Non-Veg,Trimester 1
Saturday,Lunch,Vegetable Khichdi,North Indian,Veg,Trimester 1
Saturday,Lunch,Cabbage-Carrot Sabzi,North Indian,Veg,Trimester 1
Saturday,Lunch,Rice with Moong Dal,North Indian,Veg,Trimester 1
Saturday,Lunch,Chicken Soup with Rice,North Indian,Non-Veg,Trimester 1
Saturday,Snack,Mung Bean Sprouts Salad,North Indian,Veg,Trimester 1
Saturday,Snack,Roasted Peanuts,North Indian,Veg,Trimester 1
Saturday,Snack,Fenugreek Potato Sabzi,North Indian,Veg,Trimester 1
Saturday,Snack,Boiled Egg,North Indian,Non-Veg,Trimester 1
Saturday,Dinner,Lemon Rice with Mixed Vegetable Stir Fry,North Indian,Veg,Trimester 1
Saturday,Dinner,Chapati with Lauki Kofta,North Indian,Veg,Trimester 1
Saturday,Dinner,Grilled Fish with Beetroot Salad,North Indian,Non-Veg,Trimester 1
Monday,Breakfast,Custard Apple,North Indian,Veg,Trimester 1
Monday,Breakfast,Guava,North Indian,Veg,Trimester 1
Monday,Breakfast,Boiled Egg,North Indian,Non-Veg,Trimester 1
Monday,Breakfast,Sapodilla,North Indian,Veg,Trimester 1
Monday,Lunch,Mixed Dal Khichdi,North Indian,Veg,Trimester 1
Monday,Lunch,Spinach and Tomato Sabzi,North Indian,Veg,Trimester 1
Monday,Lunch,Steamed Rice,North Indian,Veg,Trimester 1
Monday,Lunch,Grilled Chicken with Chapati,North Indian,Non-Veg,Trimester 1
Monday,Snack,Roasted Chickpeas,North Indian,Veg,Trimester 1
Monday,Snack,Beans and Carrot Sabzi,North Indian,Veg,Trimester 1
Monday,Snack,Boiled Egg,North Indian,Non-Veg,Trimester 1
Monday,Snack,Pearl Millet Roti,North Indian,Veg,Trimester 1
Monday,Dinner,Vegetable Pulao with Cucumber Raita,North Indian,Veg,Trimester 1
Monday,Dinner,Chapati with Paneer Bhurji,North Indian,Veg,Trimester 1
Monday,Dinner,Grilled Chicken with Lauki Sabzi,North Indian,Non-Veg,Trimester 1
Thursday,Breakfast,Sapodilla,North Indian,Veg,Trimester 1
Thursday,Breakfast,Chikoo,North Indian,Veg,Trimester 1
Thursday,Breakfast,Mango Aam,North Indian,Veg,Trimester 1
Thursday,Breakfast,Boiled Egg,North Indian,Non-Veg,Trimester 1
Thursday,Lunch,Vegetable Dhokla,North Indian,Veg,Trimester 1
Thursday,Lunch,Chapathi,North Indian,Veg,Trimester 1
Thursday,Lunch,Egg Curry with Rice,North Indian,Non-Veg,Trimester 1
Thursday,Lunch,Curd Rice,North Indian,Veg,Trimester 1
Thursday,Snack,Fenugreek Potato Sabzi,North Indian,Veg,Trimester 1
Thursday,Snack,Stuffed Bottle Gourd,North Indian,Veg,Trimester 1
Thursday,Snack,Ragi Roti,North Indian,Veg,Trimester 1
Thursday,Snack,Boiled Egg,North Indian,Non-Veg,Trimester 1
Thursday,Dinner,Paneer Butter Masala with Chapati,North Indian,Veg,Trimester 1
Thursday,Dinner,Mixed Vegetable Sabzi,North Indian,Veg,Trimester 1
Thursday,Dinner,Grilled Fish with Cucumber and Carrot Salad,North Indian,Non-Veg,Trimester 1
Tuesday,Breakfast,Guava,North Indian,Veg,Trimester 1
Tuesday,Breakfast,Chapathi,North Indian,Veg,Trimester 1
Tuesday,Breakfast,Custard Apple,North Indian,Veg,Trimester 1
Tuesday,Breakfast,Boiled Egg,North Indian,Non-Veg,Trimester 1
Tuesday,Breakfast,Badaam Milk,North Indian,Veg,Trimester 1
Tuesday,Snack,Puffed Rice with Peanuts,North Indian,Veg,Trimester 1
Tuesday,Snack,Mixed Nuts,North Indian,Veg,Trimester 1
Tuesday,Lunch,Grilled Chicken with Rice,North Indian,Non-Veg,Trimester 1
Tuesday,Snack,Kadhi Pakora,North Indian,Veg,Trimester 1
Tuesday,Snack,Fenugreek Potato Sabzi,North Indian,Veg,Trimester 1
Tuesday,Snack,Besan Gatta Curry,North Indian,Veg,Trimester 1
Tuesday,Snack,Boiled Egg,North Indian,Non-Veg,Trimester 1
Tuesday,Dinner,Mixed Vegetable Pulao,North Indian,Veg,Trimester 1
Tuesday,Dinner,Paneer Bhurji with Chapati,North Indian,Veg,Trimester 1
Tuesday,Dinner,Grilled Fish with Lauki Sabzi,North Indian,Non-Veg,Trimester 1
Wednesday,Breakfast,Grapes,North Indian,Veg,Trimester 1
Wednesday,Breakfast,Walnuts,North Indian,Veg,Trimester 1
Wednesday,Breakfast,Raisins,North Indian,Veg,Trimester 1
Wednesday,Breakfast,Boiled Egg,North Indian,Non-Veg,Trimester 1
Wednesday,Breakfast,Banana Milkshake,North Indian,Veg,Trimester 1
Wednesday,Snack,Carrot and Cucumber Sticks,North Indian,Veg,Trimester 1
Wednesday,Lunch,Steamed Rice,North Indian,Veg,Trimester 1
Wednesday,Lunch,Chicken Soup with Rice,North Indian,Non-Veg,Trimester 1
Wednesday,Snack,Red Lentil Dal,North Indian,Veg,Trimester 1
Wednesday,Snack,Methia Aloo Sabzi,North Indian,Veg,Trimester 1
Wednesday,Snack,Capsicum Paneer,North Indian,Veg,Trimester 1
Wednesday,Snack,Boiled Egg,North Indian,Non-Veg,Trimester 1
Wednesday,Dinner,Vegetable Pulao,North Indian,Veg,Trimester 1
Wednesday,Dinner,Paneer Tikka with Chapati,North Indian,Veg,Trimester 1
Wednesday,Dinner,Grilled Chicken with Radish Sabzi,North Indian,Non-Veg,Trimester 1
Day,Dinner,Food,Regional Type,Food Type,Trimester
Sunday,Dinner,Vegetable Pulao with Cucumber Raita,North Indian,Veg,Trimester 1
Sunday,Dinner,Chapati with Paneer Masala & Stir-fried Carrot Beans,North Indian,Veg,Trimester 1
Sunday,Dinner,Grilled Fish with Spinach Sabzi,North Indian,Non-Veg,Trimester 1
Monday,Dinner,Steamed Rice with Moong Dal & Mixed Vegetable Sabzi,North Indian,Veg,Trimester 1
Monday,Dinner,Chapati with Lauki Kofta & Beetroot Sabzi,North Indian,Veg,Trimester 1
Monday,Dinner,Grilled Chicken with Spinach & Carrot Sabzi,North Indian,Non-Veg,Trimester 1
Tuesday,Dinner,Vegetable Khichdi with Cucumber-Tomato Salad,North Indian,Veg,Trimester 1
Tuesday,Dinner,Chapati with Rajma Curry & Bottle Gourd Sabzi,North Indian,Veg,Trimester 1
Tuesday,Dinner,Lemon Rice with Grilled Fish & French Beans Sabzi,North Indian,Non-Veg,Trimester 1
Wednesday,Dinner,Vegetable Pulao with Mixed Veg Stir Fry,North Indian,Veg,Trimester 1
Wednesday,Dinner,Chapati with Paneer Bhurji & Snake Gourd Sabzi,North Indian,Veg,Trimester 1
Wednesday,Dinner,Grilled Chicken with Steamed Rice & Cabbage Sabzi,North Indian,Non-Veg,Trimester 1
Thursday,Dinner,Steamed Rice with Mixed Dal & Spinach Sabzi,North Indian,Veg,Trimester 1
Thursday,Dinner,Chapati with Mushroom Masala & Carrot Peas Sabzi,North Indian,Veg,Trimester 1
Thursday,Dinner,Grilled Fish with Rice & Stir-fried Capsicum,North Indian,Non-Veg,Trimester 1
Friday,Dinner,Vegetable Pulao with Cucumber-Carrot Raita,North Indian,Veg,Trimester 1
Friday,Dinner,Chapati with Paneer Tikka Masala & Lauki Sabzi,North Indian,Veg,Trimester 1
Friday,Dinner,Grilled Chicken with Steamed Rice & Bottle Gourd Sabzi,North Indian,Non-Veg,Trimester 1
