Day,Meal Type,Food,Regional Type,Food Type,Trimester
Monday,Breakfast,Moong Dal Chilla with Green Chutney,North Indian,Veg,Trimester 1
Monday,Breakfast,Mango Smoothie,North Indian,Veg,Trimester 1
Monday,Snack,Bajra (Pearl Millet) Roti with Baingan Bharta,North Indian,Veg,Trimester 1
Monday,Snack,Roasted Makhana (Foxnuts) with Light Spices,North Indian,Veg,Trimester 1
Monday,Lunch,Steamed Rice with Palak Dal & Carrot Beans Thoran,North Indian,Veg,Trimester 1
Monday,Lunch,Cucumber Raita,North Indian,Veg,Trimester 1
Monday,Dinner,Chapati with Paneer Bhurji & Lauki Sabzi,North Indian,Veg,Trimester 1
Monday,Dinner,Vegetable Khichdi with Light Tomato Rasam,North Indian,Veg,Trimester 1
Tuesday,Breakfast,Vegetable Poha with Peanuts,North Indian,Veg,Trimester 1
Tuesday,Breakfast,Guava Juice,North Indian,Veg,Trimester 1
Tuesday,Snack,Steamed Sweet Corn with Lemon,North Indian,Veg,Trimester 1
Tuesday,Snack,Mixed Sprouts Salad with Mint,North Indian,Veg,Trimester 1
Tuesday,Lunch,Roti with Chole Masala & Cabbage Poriyal,North Indian,Veg,Trimester 1
Tuesday,Lunch,Carrot Raita,North Indian,Veg,Trimester 1
Tuesday,Dinner,Bajra Roti with Lauki Methi Curry & Beetroot Thoran,North Indian,Veg,Trimester 1
Tuesday,Dinner,Curd Rice with Grated Carrot,North Indian,Veg,Trimester 1
Wednesday,Breakfast,Stuffed Moong Dal Paratha with Coriander Chutney,North Indian,Veg,Trimester 1
Wednesday,Breakfast,Papaya Cubes,North Indian,Veg,Trimester 1
Wednesday,Snack,Bhindi (Okra) Stir Fry with Chapati,North Indian,Veg,Trimester 1
Wednesday,Snack,Roasted Chana (Chickpeas),North Indian,Veg,Trimester 1
Wednesday,Lunch,Jeera Rice with Matar Paneer & Lauki Sabzi,North Indian,Veg,Trimester 1
Wednesday,Lunch,Boondi Raita,North Indian,Veg,Trimester 1
Wednesday,Dinner,Karela (Bitter Gourd) Sabzi with Chapati,North Indian,Veg,Trimester 1
Wednesday,Dinner,Vegetable Khichdi with Spinach,North Indian,Veg,Trimester 1
Thursday,Breakfast,Suji (Rava) Upma with Mixed Vegetables,North Indian,Veg,Trimester 1
Thursday,Breakfast,Apple Slices with Yogurt,North Indian,Veg,Trimester 1
Thursday,Snack,Moong Dal Sundal,North Indian,Veg,Trimester 1
Thursday,Snack,Roasted Pumpkin Seeds,North Indian,Veg,Trimester 1
Thursday,Lunch,Steamed Rice with Rajma Curry & Cabbage Thoran,North Indian,Veg,Trimester 1
Thursday,Lunch,Cucumber & Carrot Raita,North Indian,Veg,Trimester 1
Thursday,Dinner,Chapati with Methi Aloo & Lauki Sabzi,North Indian,Veg,Trimester 1
Thursday,Dinner,Vegetable Khichdi with Light Tomato Rasam,North Indian,Veg,Trimester 1
Friday,Breakfast,Besan Chilla with Coriander Chutney,North Indian,Veg,Trimester 1
Friday,Breakfast,Watermelon Cubes,North Indian,Veg,Trimester 1
Friday,Snack,Paneer Tikka (Air Fried),North Indian,Veg,Trimester 1
Friday,Snack,Mixed Sprouts Sundal,North Indian,Veg,Trimester 1
