Day,Meal Type,Food,Regional Type,Food Type,Trimester
Friday,Breakfast,Idli + Vegetable Sambar,South Indian,Veg,Trimester 1
Friday,Breakfast,Plain Dosa + Coconut Chutney,South Indian,Veg,Trimester 1
Sunday,Breakfast,Pomegranate,South Indian,Veg,Trimester 1
Sunday,Breakfast,Ragi Dosa,South Indian,Veg,Trimester 1
Sunday,Lunch,Rice + Rasam + Veg Poriyal,South Indian,Veg,Trimester 1
Sunday,Lunch,Lemon Rice + Curd,South Indian,Veg,Trimester 1
Sunday,Lunch,Vegetable Pulao,South Indian,Veg,Trimester 1
Friday,Lunch,Curd + Rice + Pickle (mild),South Indian,Veg,Trimester 1
Friday,Lunch,Vegetable Khichdi,South Indian,Veg,Trimester 1
Friday,Lunch,Tomato Rice + Veg Fry,South Indian,Veg,Trimester 1
Friday,Lunch,Cabbage with rice,South Indian,Veg,Trimester 1
Friday,Lunch,Brinjal Curry with rice,South Indian,Veg,Trimester 1
Friday,Lunch,(moru/majjige),South Indian,Veg,Trimester 1
Friday,Lunch,Green Peas Curry,South Indian,Veg,Trimester 1
Friday,Lunch,Fish Curry,South Indian,Non-Veg,Trimester 1
Friday,Snack,Dates,South Indian,Veg,Trimester 1
Friday,Snack,Carrot Palya (Poriyal),South Indian,Veg,Trimester 1
Friday,Snack,Cucumber Slices,South Indian,Veg,Trimester 1
Sunday,Snack,Sweets,South Indian,Veg,Trimester 1
Sunday,Snack,Idli,South Indian,Veg,Trimester 1
Sunday,Snack,Ivy Gourd Palya (Poriyal),South Indian,Veg,Trimester 1
Sunday,Snack,Boiled Corn,South Indian,Veg,Trimester 1
Friday,Snack,Fruit Bowl,South Indian,Veg,Trimester 1
Friday,Snack,Roasted Chana,South Indian,Veg,Trimester 1
Friday,Snack,Boiled Egg,South Indian,Non-Veg,Trimester 1
Sunday,Breakfast,Idli with Vegetable Sambar,South Indian,Veg,Trimester 1
Sunday,Breakfast,Dosa with Chutney,South Indian,Veg,Trimester 1
Sunday,Breakfast,Ragi Porridge,South Indian,Veg,Trimester 1
Sunday,Breakfast,Vegetable Upma,South Indian,Veg,Trimester 1
Monday,Breakfast,Sprouts Salad,South Indian,Veg,Trimester 1
Monday,Breakfast,Fruit Bowl with Walnuts & Raisins,South Indian,Veg,Trimester 1
Monday,Lunch,Steamed Rice with Sambar,South Indian,Veg,Trimester 1
Monday,Lunch,Vegetable Poriyal,South Indian,Veg,Trimester 1
Monday,Lunch,Chickpea Sundal with Onion & Tomato,South Indian,Veg,Trimester 1
Monday,Lunch,Vegetable Cutlet,South Indian,Veg,Trimester 1
Monday,Lunch,Curd Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Roasted Corn (Bhutta),South Indian,Veg,Trimester 1
Monday,Lunch,Veg Fried Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Veg Biryani,South Indian,Veg,Trimester 1
Monday,Lunch,Potato Cuury with Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Vegetable Curry with Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Sambar with Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Lemon Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Monday,Lunch,Vegetable Sambar,South Indian,Veg,Trimester 1
Monday,Lunch,Spinach Dal (Keerai Paruppu),South Indian,Veg,Trimester 1
Monday,Lunch,Cabbage Poriyal,South Indian,Veg,Trimester 1
Monday,Lunch,Carrot Beans Kootu,South Indian,Veg,Trimester 1
Monday,Lunch,Vegetable Kurma,South Indian,Veg,Trimester 1
Monday,Lunch,Potato Fry with rice,South Indian,Veg,Trimester 1
Monday,Lunch,Rasam,South Indian,Veg,Trimester 1
Monday,Lunch,Appalam (Papad) with sambar rice,South Indian,Veg,Trimester 1
Monday,Lunch,Curd Rice,South Indian,Veg,Trimester 1
Monday,Breakfast,Ragi Dosa with Coconut Chutney,South Indian,Veg,Trimester 1
Monday,Breakfast,Idli with Sambar,South Indian,Veg,Trimester 1
Monday,Breakfast,Pineapple,South Indian,Veg,Trimester 1
Monday,Breakfast,Vegetable Upma,South Indian,Veg,Trimester 1
Monday,Breakfast,Puri,South Indian,Veg,Trimester 1
Monday,Breakfast,Boiled Egg,South Indian,Non-Veg,Trimester 1
Monday,Breakfast,Rava Dosa,South Indian,Veg,Trimester 1
Monday,Breakfast,ghee Dosa,South Indian,Veg,Trimester 1
Monday,Breakfast,Sprouted Moong Salad,South Indian,Veg,Trimester 1
Monday,Breakfast,Salads,South Indian,Veg,Trimester 1
Monday,Breakfast,Vada with Chutney,South Indian,Veg,Trimester 1
Monday,Breakfast,Idly With Chutney,South Indian,Veg,Trimester 1
Monday,Breakfast,Pongal,South Indian,Veg,Trimester 1
Monday,Breakfast,Pesarettu,South Indian,Non-Veg,Trimester 1
Monday,Breakfast,Cumin Upma,South Indian,Veg,Trimester 1
Monday,Breakfast,Ragi Malt Juice,South Indian,Veg,Trimester 1
Monday,Breakfast,Idiyappam,South Indian,Veg,Trimester 1
Saturday,Breakfast,Fruits,South Indian,Veg,Trimester 1
Saturday,Breakfast,Butter Dosa,South Indian,Veg,Trimester 1
Saturday,Breakfast,Idly With Karam,South Indian,Veg,Trimester 1
Saturday,Breakfast,Sambar vada,South Indian,Veg,Trimester 1
Saturday,Breakfast,Plain dosa,South Indian,Veg,Trimester 1
Sunday,Dinner,Soft Chapati with Paneer & Capsicum Stir Fry,South Indian,Veg,Trimester 1
Sunday,Dinner,Steamed Rice with Bottle Gourd Kootu & Spinach Poriyal,South Indian,Veg,Trimester 1
Sunday,Dinner,Steamed Rice with Light Fish Curry & Ridge Gourd Poriyal,South Indian,Non-Veg,Trimester 1
Monday,Dinner,Ragi Dosa with Vegetable Kurma,South Indian,Veg,Trimester 1
Monday,Dinner,Chapati with Mushroom Pepper Masala & Carrot Beans Thoran,South Indian,Veg,Trimester 1
Monday,Dinner,Steamed Rice with Mild Chicken Curry & Snake Gourd Poriyal,South Indian,Non-Veg,Trimester 1
Tuesday,Dinner,Vegetable Wheat Upma with Coconut Chutney,South Indian,Veg,Trimester 1
Tuesday,Dinner,Chapati with Chana Masala & Beetroot Poriyal,South Indian,Veg,Trimester 1
Tuesday,Dinner,Steamed Rice with Prawn Curry (light) & Cabbage Poriyal,South Indian,Non-Veg,Trimester 1
Wednesday,Dinner,Set Dosa with Vegetable Saagu,South Indian,Veg,Trimester 1
Wednesday,Dinner,Ragi Roti with Tomato Onion Chutney & Beans Poriyal,South Indian,Veg,Trimester 1
