Trimester,Meal type,Food item,Quantity,Nutritional benefit,Region
1st,Early Morning,Milk + toast/rusk (if nausea),200 ml + 1 piece,"Calcium, protein, easy digestion",North India
1st,Breakfast,2–3 Paratha/Roti or Daliya with pulses,75 g cereals + 15 g pulses,"Energy, protein",North India
1st,Breakfast,Vegetable curry (spinach/methi),100 g,"Folate, iron",North India
1st,Breakfast,Boiled egg / Paneer,30–50 g,"Protein, calcium",North India
1st,Mid-Morning,Seasonal fruit (orange/guava),100 g,"Vitamin C, antioxidants",North India
1st,Lunch,Rice/Roti + Dal/Chicken/Meat,100 g cereals + 30 g protein,"Energy, iron",North India
1st,Lunch,Green leafy veg curry,75 g,"Folate, iron",North India
1st,Lunch,Curd + Salad,100 ml + 50 g,"Probiotics, fiber",North India
1st,Evening Snack,Banana/Guava + Nuts,100 g fruit + 30 g nuts,"Healthy fats, protein",North India
1st,Dinner,Rice/Roti + Pulses + Veg curry,100 g cereals + 15 g pulses + 100 g veg,"Energy, protein, fiber",North India
1st,Bedtime,Milk,100 ml,"Calcium, protein",North India
2nd,Early Morning,Milk + sugar (optional),200 ml + 5 g,"Calcium, energy",North India
2nd,Breakfast,3 Paratha/Roti or 2 Katori Daliya with pulses,75 g cereals + 30 g pulses,"Protein, fiber",North India
2nd,Breakfast,Green leafy veg curry,50 g,"Folate, iron",North India
2nd,Breakfast,Egg/Paneer,50 g,"Protein, calcium",North India
2nd,Mid-Morning,Seasonal fruit (mango/papaya),100 g,"Vitamin A, fiber",North India
2nd,Lunch,Rice/Roti + Dal/Chicken/Meat,100 g cereals + 30 g protein,"Energy, iron",North India
2nd,Lunch,Green leafy veg curry,75 g,"Folate, iron",North India
2nd,Lunch,Salad + Curd,50 g + 100 ml,"Fiber, probiotics",North India
2nd,Evening Snack,Orange/Guava + Nuts,100 g fruit + 35 g nuts,"Vitamin C, healthy fats",North India
2nd,Dinner,Rice/Roti + Pulses + Veg curry,100 g cereals + 30 g pulses + 100 g veg,"Protein, fiber",North India
2nd,Bedtime,Milk,100 ml,"Calcium, protein",North India
3rd,Early Morning,Milk (no sugar if overweight),200 ml,"Calcium, protein",North India
3rd,Breakfast,2–3 Paratha/Roti or Daliya with pulses,70 g cereals + 15 g pulses,"Energy, protein",North India
3rd,Breakfast,Vegetable curry,100 g,"Fiber, folate",North India
3rd,Breakfast,Egg/Paneer,50 g,"Protein, calcium",North India
3rd,Mid-Morning,Seasonal fruit (banana/apple),100 g,"Fiber, potassium",North India
3rd,Lunch,Rice/Roti + Dal/Meat,90–100 g cereals + 30 g protein,"Energy, iron",North India
3rd,Lunch,Green leafy veg curry,75 g,"Folate, iron",North India
3rd,Lunch,Salad + Curd,50 g + 100 ml,"Fiber, probiotics",North India
3rd,Evening Snack,Guava/Orange + Nuts,100 g fruit + 20 g nuts,"Vitamin C, healthy fats",North India
3rd,Dinner,Rice/Roti + Pulses + Veg curry,90 g cereals + 15 g pulses + 100 g veg,"Protein, fiber",North India
3rd,Bedtime,Milk,100 ml,"Calcium, protein",North India
