Trimester,Meal Type,Food Item,Quantity,Nutritional Benefit,Region
1st,Early Morning,Milk,200 ml,"Calcium, protein",South Indian
1st,Breakfast,Daliya with pulses / Idli with sambar,75 g cereals + 15 g pulses,"Energy, protein",South Indian
1st,Breakfast,"Vegetable curry (spinach, methi)",100 g,"Iron, folate",South Indian
1st,Breakfast,Boiled egg / Paneer,30–50 g,"Protein, iron",South Indian
1st,Mid-Morning,"Seasonal fruit (orange, guava)",100 g,"Vitamin C, antioxidants",South Indian
1st,Lunch,Rice/Roti + Dal,100 g cereals + 30 g dal,"Energy, protein",South Indian
1st,Lunch,Green leafy veg curry,75 g,"Folate, iron",South Indian
1st,Lunch,Curd,100 ml,"Probiotics, calcium",South Indian
1st,Evening Snack,Banana/Guava + roasted peanuts,100 g fruit + 30 g nuts,"Healthy fats, protein",South Indian
1st,Dinner,Rice/Roti + Pulses,90–100 g cereals + 15 g pulses,"Energy, protein",South Indian
1st,Dinner,Vegetable curry,100 g,"Fiber, vitamins",South Indian
1st,Bedtime,Milk,100 ml,"Calcium, protein",South Indian
2nd,Early Morning,Milk + 1 tsp sugar,200 ml,"Calcium, energy",South Indian
2nd,Breakfast,Roti/Parantha + Dal,75 g cereals + 30 g pulses,"Protein, fiber",South Indian
2nd,Breakfast,Vegetable curry,100 g,"Vitamins, minerals",South Indian
2nd,Breakfast,Egg/Paneer,50 g,"Protein, calcium",South Indian
2nd,Mid-Morning,"Seasonal fruit (mango, papaya)",100 g,"Vitamin A, fiber",South Indian
2nd,Lunch,Rice/Roti + Dal/Chicken,100 g cereals + 30 g protein,"Energy, iron",South Indian
2nd,Lunch,Green leafy veg curry,75 g,"Folate, iron",South Indian
2nd,Lunch,Salad + Curd,50 g salad + 100 ml curd,"Fiber, probiotics",South Indian
2nd,Evening Snack,Orange/Guava + Nuts,100 g fruit + 35 g nuts,"Vitamin C, healthy fats",South Indian
2nd,Dinner,Rice/Roti + Pulses,100 g cereals + 30 g pulses,"Protein, energy",South Indian
2nd,Dinner,Vegetable curry,100 g,"Fiber, vitamins",South Indian
2nd,Bedtime,Milk,100 ml,"Calcium, protein",South Indian
3rd,Early Morning,Milk (no sugar if overweight),200 ml,"Calcium, protein",South Indian
3rd,Breakfast,Daliya/Poha with pulses,70–75 g cereals + 15 g pulses,"Energy, protein",South Indian
3rd,Breakfast,Vegetable curry,100 g,"Fiber, folate",South Indian
3rd,Breakfast,Egg/Paneer,50 g,"Protein, calcium",South Indian
3rd,Mid-Morning,"Seasonal fruit (banana, apple)",100 g,"Fiber, potassium",South Indian
3rd,Lunch,Rice/Roti + Dal/Meat,90–100 g cereals + 30 g protein,"Energy, iron",South Indian
3rd,Lunch,Green leafy veg curry,75 g,"Folate, iron",South Indian
3rd,Lunch,Salad + Curd,50 g salad + 100 ml curd,"Fiber, probiotics",South Indian
3rd,Evening Snack,Guava/Orange + Nuts,100 g fruit + 20 g nuts,"Vitamin C, healthy fats",South Indian
3rd,Dinner,Rice/Roti + Pulses,90 g cereals + 15 g pulses,"Protein, energy",South Indian
3rd,Dinner,Vegetable curry,100 g,"Fiber, vitamins",South Indian
3rd,Bedtime,Milk,100 ml,"Calcium, protein",South Indian
