Category,Item,Benefits,Preparation/Precautions,Trimester Suitability
Fruits,Pomegranates,"Rich in iron, prevents anemia","Wash thoroughly before eating",All
Fruits,Apples,"Provides fiber, aids digestion","Consume fresh and washed",All
Fruits,Bananas,"High in potassium, provides energy","Wash properly, avoid overripe fruit",All
Vegetables,Pumpkin,"Easily digestible, rich in vitamins","Prefer steamed or cooked",All
Vegetables,Bottle Gourd,"Cooling effect, supports hydration","Cook thoroughly to prevent contamination",All
Vegetables,Carrots,"Rich in vitamin A, supports fetal development","Wash before cooking, avoid raw",All
Soups/Broths,Vegetable Soup,"Boosts immunity, provides hydration","Prepare hot, add ginger or garlic",All
Soups/Broths,Lentil Soup,"Protein-rich, easily digestible","Cook thoroughly, avoid stale ingredients",All
Soups/Broths,Clear Vegetable Broth,"Soothes stomach, provides electrolytes","Consume fresh, hot, hygienically prepared",All
Avoid,Raw or Undercooked Seafood/Meat,"Risk of listeria and parasites","Cook thoroughly to safe temperature",None
Avoid,"Street Food (pakoras, chaat)","Causes gastrointestinal infections","Avoid completely during monsoon",None
Avoid,"Cut fruits or salads from vendors","High contamination risk, unhygienic","Cut and eat fresh at home only",None
