Season,Category,Food / Drink,Nutrient / Benefit,Effect on Pregnancy,Precaution / Limitation,Additional Notes
Summer,Fruits to Include,Watermelon & melons,"High water content, electrolytes","Maintains hydration, prevents overheating","Limit if gestational diabetes due to natural sugars","Can also be consumed as watermelon water"
Summer,Fruits to Include,Apples,"Fiber, iron","Prevents anemia, supports digestion","Wash properly to remove pesticide residues","Eating one apple daily is beneficial"
Summer,Fruits to Include,Mangoes,"Vitamin A, vitamin C","Supports immunity, skin health, fetal growth","Sugar-rich: limit in gestational diabetes","Eat in moderation (seasonal fruit)"
Summer,Fruits to Include,Bananas,"Potassium, fiber","Prevents leg cramps, improves digestion","High sugar: limit if diabetic","Great for quick energy"
Summer,Fruits to Include,Guavas,"Vitamin C, fiber","Boosts immunity, prevents constipation","Eat ripe to avoid acidity","Wash thoroughly before eating"
Summer,Fruits to Include,"Peaches, plums, kiwi, lemons","Vitamin C","Improves iron absorption, strengthens immunity","Citrus may aggravate acidity in some cases","Lemon water aids hydration"
Summer,Fruits to Include,Avocado,"Healthy fats, fiber, folate","Supports fetal brain development, eases constipation","Avoid excessive intake (high calories)","Great in salads or spreads"
Summer,Fruits to Include,Berries,"Antioxidants, fiber","Reduces constipation, boosts skin health","Wash carefully to avoid contamination","Strawberries, blueberries, raspberries"
Summer,Fruits to Include,Cherries,"Vitamin C, calcium, iron","Improves sleep, reduces swelling, supports fetal brain","Seasonal: eat fresh only","Tart cherries especially beneficial"
Summer,Vegetables,Cucumbers,"High water content","Cooling, prevents dehydration","Avoid unwashed raw slices outside","Cucumber water is refreshing"
Summer,Vegetables,Tomatoes,"Lycopene, vitamin C","Antioxidant, supports skin health","Avoid excess raw intake (acidity issues)","Gazpacho soup is cooling"
Summer,Vegetables,Zucchini,"Folate, potassium, vitamins A & C","Supports fetal growth, hydration","Consume cooked or lightly grilled","Very versatile summer vegetable"
Summer,Protein,Eggs (boiled),"Protein, iron, vitamin B12","Supports fetal growth, provides lean protein","Avoid raw or undercooked eggs","Boiled eggs are light and nutritious"
Summer,Protein,Greek yogurt,"Protein, calcium, probiotics","Supports digestion, strengthens bones","Choose pasteurized yogurt","Can be made into overnight oats"
Summer,Hydration,Water,"Essential hydration","Prevents fatigue, low blood pressure","Drink safe, filtered water","At least 8–10 glasses per day"
Summer,Hydration,Coconut water,"Electrolytes, potassium","Prevents dehydration, relieves acidity","Avoid packaged or artificial versions","Fresh tender coconut water is best"
Summer,Hydration,Lassi / buttermilk,"Probiotics, calcium","Cooling, improves gut health","Avoid sweetened or packaged versions","Homemade is best"
Summer,Hydration,Lemonade (nimbu pani),"Vitamin C, hydration","Boosts immunity, refreshes","Limit sugar; add less salt","Add mint for extra cooling"
Summer,Foods to Avoid,"Papaya, pineapple","Papain, bromelain enzymes","Risk of uterine contractions (especially unripe papaya)","Best to avoid entirely during pregnancy","Traditional precaution"
Summer,Foods to Avoid,"Raw seafood, raw meat","Protein but unsafe","Risk of listeria, parasites","Cook thoroughly","Avoid sushi and raw meats"
Summer,Foods to Avoid,Alcohol & smoking,"Toxins","Direct harm to fetus, developmental risks","Completely avoid","—"
Summer,Foods to Avoid,Sugary drinks / sodas,"High sugar, empty calories","Increases risk of gestational diabetes, dehydration","Completely avoid","Includes sweetened thandai, sugary smoothies"
Summer,Foods to Avoid,Processed foods,"Preservatives, unhealthy fats","Low nutrition, excessive weight gain","Avoid packaged snacks","—"
Summer,Foods in Moderation,"Banana, mango, grapes, melons","High natural sugars","Raises blood sugar, risk for gestational diabetes","Limit to 2–3 portions per day","Moderation is key"
Summer,Tips,Eat light & frequent,"—","Improves digestion","Avoid overeating","Small balanced meals"
Summer,Tips,Adequate protein,"Eggs, milk, pulses","Supports fetal growth & development","Avoid unpasteurized milk","Include daily"
Summer,Tips,Limit caffeine,"Tea, coffee","Dehydration, possible fetal effects","Maximum 2 coffee or 3 tea cups per day","Switch to herbal teas"
Summer,Tips,Avoid overheating foods,"Excess fried or spicy foods","May cause indigestion, acidity","Eat moderately","Prefer boiled or steamed foods"
